Hour,originRegion,destRegion,FareFactor
6,1,1,1.4854582081525323
6,1,2,1.5375193788395172
6,1,3,1.4498909938763243
6,1,4,1.2871794748349978
6,1,5,1.3957424569678532
6,1,6,1.4104367974775542
6,1,7,1.297609630861819
6,1,8,1.1824598146975376
6,1,9,1.2989804893377666
6,1,10,1.1614270197040746
6,1,11,0.982111757952696
6,1,12,1.127925058497044
6,1,13,1.1786109315506628
6,1,14,1.2250467872738613
6,1,15,1.0244742977837311
6,1,16,1.0059102079455653
6,1,17,1.0194076774079648
6,1,18,0.8758964358424848
6,1,19,0.8520298902072916
6,1,20,1.1086790480320174
6,1,21,0.9208748883231807
6,1,22,0.8301573498093998
6,1,23,0.7664277242413927
6,1,24,1.1970819056040676
6,1,25,1.335187712643543
6,2,1,1.6169553467813451
6,2,2,1.8154891275498093
6,2,3,1.6375276645850154
6,2,4,1.3226616287645898
6,2,5,1.7569360872600508
6,2,6,1.833439976250981
6,2,7,1.659065788213997
6,2,8,1.5675788921328444
6,2,9,1.4473500998701105
6,2,10,1.4797447553615442
6,2,11,1.1510688700516594
6,2,12,1.3687440399182338
6,2,13,1.476448751241993
6,2,14,1.393989397297307
6,2,15,1.1514527267993195
6,2,16,1.1621236013260519
6,2,17,1.417492050962732
6,2,18,1.1077446438712482
6,2,19,0.8889176850602984
6,2,20,1.376302186083476
6,2,21,0.9670317551395521
6,2,22,0.8379422636540126
6,2,23,1.0383889481640773
6,2,24,0.8691584334638809
6,2,25,1.4647329306966612
6,3,1,1.3255622565828031
6,3,2,1.1259991825403415
6,3,3,1.192141984891316
6,3,4,1.2039335151477084
6,3,5,1.2364331677441933
6,3,6,1.124538730769582
6,3,7,1.015289141020314
6,3,8,1.0495333760388545
6,3,9,1.4058501017280305
6,3,10,1.020178397862262
6,3,11,1.0637927680686345
6,3,12,0.994570608808244
6,3,13,0.9102882657963316
6,3,14,0.8128990907227613
6,3,15,0.8711981598329186
6,3,16,0.8381377245529247
6,3,17,0.9841793689229257
6,3,18,0.7743730902037311
6,3,19,0.9241683421770012
6,3,20,0.8859988571927678
6,3,21,0.9356486345701832
6,3,22,1.0104469251032837
6,3,23,0.8519195612431444
6,3,24,0.7412608238853265
6,3,25,1.106543282093606
6,4,1,1.0413083207451101
6,4,2,1.0339656828683583
6,4,3,1.1772052999742146
6,4,4,1.289580900919533
6,4,5,1.1718858358099493
6,4,6,1.1162959899855303
6,4,7,1.0609742421606878
6,4,8,1.0247866209584975
6,4,9,1.1759628145658958
6,4,10,1.0930777212940372
6,4,11,1.19366902180534
6,4,12,1.0343697222428887
6,4,13,0.9242434773493146
6,4,14,0.7437278171107888
6,4,15,0.932541100957548
6,4,16,0.922822296630503
6,4,17,1.1162460863471904
6,4,18,0.805343494746816
6,4,19,0.716604958365231
6,4,20,0.9850335447992258
6,4,21,0.7342953876619506
6,4,22,0.689795051221584
6,4,23,0.7816641569580569
6,4,24,0.8112437360721456
6,4,25,1.0777827699017872
6,5,1,1.370935803922664
6,5,2,1.318943192056853
6,5,3,1.4902279370358829
6,5,4,1.3490431765839348
6,5,5,1.505769930355797
6,5,6,1.4119772478845176
6,5,7,1.3575809135603902
6,5,8,1.3443915512417115
6,5,9,1.3751094087049545
6,5,10,1.4580748748810581
6,5,11,1.24556861042451
6,5,12,1.1830316100431357
6,5,13,1.2811203847605737
6,5,14,1.0707820347854888
6,5,15,1.0093216217569885
6,5,16,0.9287743998134318
6,5,17,1.6802728458911063
6,5,18,1.3342214826180152
6,5,19,1.0075704062566793
6,5,20,1.2528818499737635
6,5,21,1.029420249181133
6,5,22,0.6782763780273995
6,5,23,0.8434345192372757
6,5,24,0.6786737351694111
6,5,25,1.3948829038242008
6,6,1,1.9586362001300344
6,6,2,2.070050989581059
6,6,3,1.809062542175379
6,6,4,1.9254837389445822
6,6,5,2.224045176151568
6,6,6,1.9379246231579181
6,6,7,2.170527094518227
6,6,8,1.991094336197468
6,6,9,1.8950834498962403
6,6,10,1.9256033559639405
6,6,11,1.623262961117505
6,6,12,1.80253907265353
6,6,13,1.886360174635234
6,6,14,1.8494926409969172
6,6,15,1.3969598959648295
6,6,16,1.4802332257722828
6,6,17,1.529088106447906
6,6,18,1.2591972116126748
6,6,19,1.2079375555388954
6,6,20,1.5895194505460173
6,6,21,1.2554033896209913
6,6,22,1.1486467211459968
6,6,23,1.03401974829829
6,6,24,1.2226856725579738
6,6,25,1.6635256940843055
6,7,1,2.1242435013825864
6,7,2,1.7791762256952974
6,7,3,1.4983842835324235
6,7,4,1.6034997230505732
6,7,5,2.097617961786331
6,7,6,2.1867682275372697
6,7,7,2.2965317201982547
6,7,8,2.1933611344648254
6,7,9,2.3483966309962927
6,7,10,2.0865432325079865
6,7,11,1.8970962281465948
6,7,12,2.0046097033363366
6,7,13,2.0799942458098326
6,7,14,1.9362194706508058
6,7,15,1.9981807173616328
6,7,16,1.2687082023975813
6,7,17,1.2085098348323153
6,7,18,1.5407850422678802
6,7,19,0.0
6,7,20,1.7407910893854392
6,7,21,1.248295625830217
6,7,22,0.9679237482568321
6,7,23,0.8029101212622295
6,7,24,0.9786887592599219
6,7,25,1.7171205027732328
6,8,1,2.054358060895627
6,8,2,2.150059406004222
6,8,3,1.824496622005258
6,8,4,1.9245796632604137
6,8,5,2.1389001192498123
6,8,6,2.2439591229277096
6,8,7,2.5492018488636106
6,8,8,2.3665383257986825
6,8,9,2.159247213692432
6,8,10,2.444765066089895
6,8,11,1.8856121396571974
6,8,12,2.3744765374394174
6,8,13,2.5280251127012368
6,8,14,2.755862351497856
6,8,15,2.1427689832189762
6,8,16,1.7424904091840798
6,8,17,1.9470443260652595
6,8,18,2.4164657033541217
6,8,19,1.772927575866788
6,8,20,1.9955893704485637
6,8,21,1.6643318905972972
6,8,22,1.5692759440903894
6,8,23,1.1910506346832608
6,8,24,1.6764633667439772
6,8,25,1.9797113564483186
6,9,1,1.5114820568544394
6,9,2,1.1985603560497826
6,9,3,1.4176777752265182
6,9,4,1.5531229534820934
6,9,5,1.4308142578861176
6,9,6,1.524234209910719
6,9,7,1.4648580862408598
6,9,8,1.4719549465380892
6,9,9,1.778517294553179
6,9,10,1.4782290002795246
6,9,11,1.4744420814266295
6,9,12,1.391183046301403
6,9,13,1.5105759368117568
6,9,14,1.0516722115164332
6,9,15,1.4417427846403779
6,9,16,1.18154351226647
6,9,17,1.1838056579638279
6,9,18,1.0599035738781275
6,9,19,1.1291096369322282
6,9,20,1.37463426673965
6,9,21,0.9445972125142733
6,9,22,0.8539307170538696
6,9,23,0.0
6,9,24,1.2174095162146696
6,9,25,1.4808691862023295
6,10,1,1.5487147012141527
6,10,2,1.304280845208841
6,10,3,1.74296233459744
6,10,4,1.650362175055603
6,10,5,1.8955673345910256
6,10,6,1.5099109351006
6,10,7,1.933105155373176
6,10,8,1.87645458414639
6,10,9,2.0647508369959215
6,10,10,1.7950332519253387
6,10,11,1.7517497775649646
6,10,12,1.8886646692883462
6,10,13,1.8523108474543777
6,10,14,1.7091089754957773
6,10,15,1.5401837755079533
6,10,16,1.6840338301104085
6,10,17,1.7542018509505426
6,10,18,1.6469237429571721
6,10,19,1.0522136934501396
6,10,20,1.5187590694857698
6,10,21,1.4209914667477994
6,10,22,1.0145579772101285
6,10,23,1.2048179905265002
6,10,24,1.1912594531236305
6,10,25,1.5382055739958918
6,11,1,1.0848145470339814
6,11,2,1.036825445009346
6,11,3,1.3120367104396682
6,11,4,1.3516345390169142
6,11,5,1.3674254385282802
6,11,6,1.1414192895677444
6,11,7,1.163468930199193
6,11,8,1.3331473199624846
6,11,9,1.5499883170073048
6,11,10,1.4292447077162314
6,11,11,1.571094838520673
6,11,12,1.3210001850529174
6,11,13,1.334012385828362
6,11,14,1.0330857979760424
6,11,15,1.4688790077711413
6,11,16,1.5807482162103825
6,11,17,1.0326556669323137
6,11,18,0.9336170489624226
6,11,19,1.2385153575860754
6,11,20,1.4299275755917586
6,11,21,0.918951383295934
6,11,22,0.8268959010719831
6,11,23,0.8363125288754497
6,11,24,0.9371771863376381
6,11,25,1.3168743623182317
6,12,1,1.4980100180932177
6,12,2,1.2641483434803629
